stage,status,gain,block_B,alpha,persist_k,pr_auc_wc,roc_auc_wc,pr_auc,roc_auc,anomaly_detect_rate,benign_run_alert_rate,benign_run_keep_rate,median_time_to_detect_s,diag_source,diag_top1_acc,diag_top2_acc,diag_macro_f1,out_dir,feature_profile,selection_mode,diag_selective_top2_acc,diag_selective_coverage,diag_mechanism_top1_proxy,diag_mechanism_top2_proxy,diag_mechanism_top3_proxy,diag_strong_score,has_diag_over_0_8,alert_utility
alpha_persist,ok,0.35,60,0.01,1,1.0000000000000002,1.0,0.9924874686716793,0.9625,0.9,0.25,0.75,84.5,feature-level,0.3,0.5,0.2371428571428571,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B60_a0.01_k1,full,diagnosis_low_fp,,,0.9,0.95,0.9833333333333332,0.9833333333333332,1,0.7987142857142857
alpha_persist,ok,0.35,60,0.01,2,1.0000000000000002,1.0,0.9924874686716793,0.9625,0.9,0.25,0.75,85.5,feature-level,0.3,0.5,0.2371428571428571,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B60_a0.01_k2,full,diagnosis_low_fp,,,0.9,0.95,0.9833333333333332,0.9833333333333332,1,0.7987142857142857
alpha_persist,ok,0.35,60,0.01,3,1.0000000000000002,1.0,0.9924874686716793,0.9625,0.9,0.25,0.75,86.5,feature-level,0.3,0.5,0.2371428571428571,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B60_a0.01_k3,full,diagnosis_low_fp,,,0.9,0.95,0.9833333333333332,0.9833333333333332,1,0.7987142857142857
alpha_persist,ok,0.35,60,0.01,5,1.0000000000000002,1.0,0.9924874686716793,0.9625,0.9,0.25,0.75,88.5,feature-level,0.3,0.5,0.2371428571428571,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B60_a0.01_k5,full,diagnosis_low_fp,,,0.9,0.95,0.9833333333333332,0.9833333333333332,1,0.7987142857142857
alpha_persist,ok,0.35,60,0.02,1,1.0000000000000002,1.0,0.9924874686716793,0.9625,0.95,0.0,1.0,60.0,feature-level,0.3,0.4,0.2,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_full_full,full,diagnosis_low_fp,0.8333333333333334,0.3,0.5666666666666667,1.0,1.0,1.0,1,1.085
alpha_persist,ok,0.35,60,0.02,2,1.0000000000000002,1.0,0.9924874686716793,0.9625,0.95,0.25,0.75,61.0,feature-level,0.3,0.5,0.2371428571428571,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B60_a0.02_k2,full,diagnosis_low_fp,,,0.9,0.95,0.9833333333333332,0.9833333333333332,1,0.8487142857142856
alpha_persist,ok,0.35,60,0.02,3,1.0000000000000002,1.0,0.9924874686716793,0.9625,0.95,0.25,0.75,62.0,feature-level,0.3,0.5,0.2371428571428571,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B60_a0.02_k3,full,diagnosis_low_fp,,,0.9,0.95,0.9833333333333332,0.9833333333333332,1,0.8487142857142856
alpha_persist,ok,0.35,60,0.02,5,1.0000000000000002,1.0,0.9924874686716793,0.9625,0.95,0.25,0.75,64.0,feature-level,0.3,0.5,0.2371428571428571,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B60_a0.02_k5,full,diagnosis_low_fp,,,0.9,0.95,0.9833333333333332,0.9833333333333332,1,0.8487142857142856
alpha_persist,ok,0.35,60,0.05,1,1.0000000000000002,1.0,0.9924874686716793,0.9625,0.95,0.25,0.75,60.0,feature-level,0.3,0.5,0.2371428571428571,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B60_a0.05_k1,full,diagnosis_low_fp,,,0.9,0.95,0.9833333333333332,0.9833333333333332,1,0.8487142857142856
alpha_persist,ok,0.35,60,0.05,2,1.0000000000000002,1.0,0.9924874686716793,0.9625,0.95,0.25,0.75,61.0,feature-level,0.3,0.5,0.2371428571428571,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B60_a0.05_k2,full,diagnosis_low_fp,,,0.9,0.95,0.9833333333333332,0.9833333333333332,1,0.8487142857142856
alpha_persist,ok,0.35,60,0.05,3,1.0000000000000002,1.0,0.9924874686716793,0.9625,0.95,0.25,0.75,62.0,feature-level,0.3,0.5,0.2371428571428571,/Users/hsiaopingni/Documents/New project/DICE/data generation/dataset/ITC_M2Pro_DATA/results_dice_tuning_full/runs/g0.35_B60_a0.05_k3,full,diagnosis_low_fp,,,0.9,0.95,0.9833333333333332,0.9833333333333332,1,0.8487142857142856
