config,gate_label,confidence_threshold,n_kept,coverage,abstain_rate,selective_top1_acc,selective_top2_acc,selective_balanced_acc,selective_macro_f1,feature_profile
tier0,trained,0.0,18,0.9,0.09999999999999998,0.16666666666666666,0.5,0.16666666666666666,0.12380952380952381,mixed
tier0,conf_0.00,0.0,18,0.9,0.09999999999999998,0.16666666666666666,0.5,0.16666666666666666,0.12380952380952381,mixed
tier0,conf_0.05,0.05,8,0.4,0.6,0.125,0.375,0.1,0.05,mixed
tier0,conf_0.10,0.1,3,0.15,0.85,0.3333333333333333,0.6666666666666666,0.25,0.13333333333333333,mixed
tier0,conf_0.15,0.15,0,0.0,1.0,,,,,mixed
tier0,conf_0.20,0.2,0,0.0,1.0,,,,,mixed
tier0,conf_0.25,0.25,0,0.0,1.0,,,,,mixed
tier0_tier1,trained,0.0,14,0.7,0.30000000000000004,0.21428571428571427,0.42857142857142855,0.2,0.15714285714285714,mixed
tier0_tier1,conf_0.00,0.0,14,0.7,0.30000000000000004,0.21428571428571427,0.42857142857142855,0.2,0.15714285714285714,mixed
tier0_tier1,conf_0.05,0.05,7,0.35,0.65,0.14285714285714285,0.5714285714285714,0.2,0.1,mixed
tier0_tier1,conf_0.10,0.1,3,0.15,0.85,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.1,mixed
tier0_tier1,conf_0.15,0.15,2,0.1,0.9,0.5,1.0,0.5,0.13333333333333333,mixed
tier0_tier1,conf_0.20,0.2,0,0.0,1.0,,,,,mixed
tier0_tier1,conf_0.25,0.25,0,0.0,1.0,,,,,mixed
tier0_tier1_tier2,trained,0.0,10,0.5,0.5,0.1,0.4,0.1,0.1,mixed
tier0_tier1_tier2,conf_0.00,0.0,10,0.5,0.5,0.1,0.4,0.1,0.1,mixed
tier0_tier1_tier2,conf_0.05,0.05,6,0.3,0.7,0.0,0.5,0.0,0.0,mixed
tier0_tier1_tier2,conf_0.10,0.1,3,0.15,0.85,0.0,0.3333333333333333,0.0,0.0,mixed
tier0_tier1_tier2,conf_0.15,0.15,2,0.1,0.9,0.0,0.0,0.0,0.0,mixed
tier0_tier1_tier2,conf_0.20,0.2,2,0.1,0.9,0.0,0.0,0.0,0.0,mixed
tier0_tier1_tier2,conf_0.25,0.25,2,0.1,0.9,0.0,0.0,0.0,0.0,mixed
